epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.58831,0.96399,0.48571,1,1.05683,0.00038583,0.00038583,0.00038583
2,6.33862,0.55826,0.68571,1,1.01845,0.000778169,0.000778169,0.000778169
3,8.05863,0.25348,1,1,0.04527,0.00116259,0.00116259,0.00116259
4,9.76032,0.16319,0.97143,1,0.08224,0.00138656,0.00138656,0.00138656
5,11.4057,0.12743,0.88571,1,0.22682,0.00137241,0.00137241,0.00137241
6,13.0391,0.17539,0.94286,1,0.19758,0.00135826,0.00135826,0.00135826
7,14.687,0.14709,0.94286,1,0.1136,0.00134412,0.00134412,0.00134412
8,16.2913,0.21282,1,1,0.06339,0.00132997,0.00132997,0.00132997
9,17.9273,0.15935,0.94286,1,0.05609,0.00131582,0.00131582,0.00131582
10,19.5352,0.11661,1,1,0.14333,0.00130168,0.00130168,0.00130168
11,21.1546,0.07456,0.97143,1,0.11007,0.00128753,0.00128753,0.00128753
12,22.7436,0.07692,0.97143,1,0.05706,0.00127338,0.00127338,0.00127338
13,24.3811,0.0771,1,1,0.00421,0.00125923,0.00125923,0.00125923
14,26.0623,0.08681,1,1,0.00542,0.00124509,0.00124509,0.00124509
15,27.8455,0.13437,0.97143,1,0.01565,0.00123094,0.00123094,0.00123094
16,29.5064,0.09633,0.97143,1,0.02622,0.00121679,0.00121679,0.00121679
17,31.1515,0.09322,0.97143,1,0.02257,0.00120265,0.00120265,0.00120265
18,32.8027,0.11237,1,1,0.00663,0.0011885,0.0011885,0.0011885
19,36.6522,0.05582,0.97143,1,0.37786,0.00117435,0.00117435,0.00117435
20,38.2959,0.07145,1,1,0.00832,0.00116021,0.00116021,0.00116021
21,39.9767,0.0462,1,1,0.00188,0.00114606,0.00114606,0.00114606
22,41.6591,0.06176,1,1,0.0081,0.00113191,0.00113191,0.00113191
23,43.3357,0.03907,1,1,0.00092,0.00111776,0.00111776,0.00111776
24,45.0036,0.06974,1,1,0.00258,0.00110362,0.00110362,0.00110362
25,46.671,0.13359,1,1,0.08091,0.00108947,0.00108947,0.00108947
26,48.3442,0.07791,1,1,0.01415,0.00107532,0.00107532,0.00107532
27,49.994,0.052,1,1,0.02032,0.00106118,0.00106118,0.00106118
28,51.6474,0.05623,1,1,0.00857,0.00104703,0.00104703,0.00104703
29,53.3012,0.08131,1,1,0.00504,0.00103288,0.00103288,0.00103288
30,54.9478,0.06848,1,1,0.0041,0.00101873,0.00101873,0.00101873
31,56.6158,0.08254,1,1,0.00452,0.00100459,0.00100459,0.00100459
32,58.2963,0.04985,1,1,0.0044,0.00099044,0.00099044,0.00099044
33,59.9817,0.05466,1,1,0.00182,0.000976293,0.000976293,0.000976293
34,61.6743,0.04714,1,1,0.00101,0.000962146,0.000962146,0.000962146
35,63.3469,0.05541,1,1,0.00128,0.000947999,0.000947999,0.000947999
36,65.0258,0.04207,1,1,0.0032,0.000933851,0.000933851,0.000933851
37,66.72,0.04192,1,1,0.01204,0.000919704,0.000919704,0.000919704
38,68.3991,0.04424,1,1,0.00161,0.000905557,0.000905557,0.000905557
39,72.2364,0.04122,1,1,0.00657,0.00089141,0.00089141,0.00089141
40,73.9341,0.03332,1,1,0.00029,0.000877263,0.000877263,0.000877263
41,75.6185,0.02258,1,1,0.00086,0.000863116,0.000863116,0.000863116
42,77.2905,0.05633,1,1,0.00366,0.000848969,0.000848969,0.000848969
43,78.9718,0.03064,1,1,0.00851,0.000834822,0.000834822,0.000834822
44,80.6373,0.05854,1,1,0.00813,0.000820675,0.000820675,0.000820675
45,82.3301,0.03282,1,1,0.00725,0.000806528,0.000806528,0.000806528
46,83.9962,0.05527,1,1,0.0009,0.00079238,0.00079238,0.00079238
47,85.6311,0.03718,1,1,0.00174,0.000778233,0.000778233,0.000778233
48,87.3209,0.03915,1,1,0.00295,0.000764086,0.000764086,0.000764086
49,88.9516,0.06264,1,1,0.0007,0.000749939,0.000749939,0.000749939
50,90.5881,0.0582,1,1,0.00016,0.000735792,0.000735792,0.000735792
51,92.2515,0.03895,1,1,0.0009,0.000721645,0.000721645,0.000721645
52,93.9374,0.04133,1,1,0.006,0.000707498,0.000707498,0.000707498
53,95.6099,0.03045,1,1,0.00216,0.000693351,0.000693351,0.000693351
54,97.2897,0.03011,1,1,0.00086,0.000679204,0.000679204,0.000679204
55,98.9748,0.02744,1,1,0.00036,0.000665057,0.000665057,0.000665057
56,100.67,0.03778,1,1,0.00067,0.000650909,0.000650909,0.000650909
57,102.343,0.03937,1,1,0.0005,0.000636762,0.000636762,0.000636762
58,106.189,0.02129,1,1,0.00038,0.000622615,0.000622615,0.000622615
59,107.869,0.01681,1,1,0.00032,0.000608468,0.000608468,0.000608468
60,109.565,0.04008,1,1,0.00068,0.000594321,0.000594321,0.000594321
61,111.234,0.03849,1,1,0.00098,0.000580174,0.000580174,0.000580174
62,112.893,0.03973,1,1,0.00077,0.000566027,0.000566027,0.000566027
63,114.58,0.04329,1,1,0.00031,0.00055188,0.00055188,0.00055188
64,116.259,0.02503,1,1,0.00018,0.000537733,0.000537733,0.000537733
65,117.996,0.02339,1,1,0.00031,0.000523586,0.000523586,0.000523586
66,119.64,0.05877,1,1,0.00215,0.000509438,0.000509438,0.000509438
67,121.276,0.02275,1,1,0.00036,0.000495291,0.000495291,0.000495291
68,122.914,0.04206,1,1,0.00064,0.000481144,0.000481144,0.000481144
69,124.578,0.02907,1,1,0.00566,0.000466997,0.000466997,0.000466997
70,126.234,0.02386,1,1,0.00105,0.00045285,0.00045285,0.00045285
71,127.922,0.01812,1,1,0.00111,0.000438703,0.000438703,0.000438703
72,129.599,0.02559,1,1,0.0006,0.000424556,0.000424556,0.000424556
73,131.271,0.02534,1,1,0.00183,0.000410409,0.000410409,0.000410409
74,132.947,0.02444,1,1,0.0026,0.000396262,0.000396262,0.000396262
75,134.641,0.02092,1,1,0.0012,0.000382115,0.000382115,0.000382115
76,136.316,0.02125,1,1,0.00052,0.000367967,0.000367967,0.000367967
77,140.161,0.01906,1,1,0.00065,0.00035382,0.00035382,0.00035382
78,141.839,0.02013,1,1,9e-05,0.000339673,0.000339673,0.000339673
79,143.512,0.15167,1,1,0.00022,0.000325526,0.000325526,0.000325526
80,145.184,0.01952,1,1,0.00021,0.000311379,0.000311379,0.000311379
81,146.883,0.03028,1,1,0.00048,0.000297232,0.000297232,0.000297232
82,148.621,0.02119,1,1,0.00039,0.000283085,0.000283085,0.000283085
83,150.316,0.01302,1,1,0.00407,0.000268938,0.000268938,0.000268938
84,151.984,0.02889,1,1,0.00061,0.000254791,0.000254791,0.000254791
85,153.645,0.03841,1,1,0.00041,0.000240644,0.000240644,0.000240644
86,155.283,0.04338,1,1,0.00108,0.000226497,0.000226497,0.000226497
87,156.936,0.01849,1,1,0.00134,0.000212349,0.000212349,0.000212349
88,158.572,0.01686,1,1,0.0003,0.000198202,0.000198202,0.000198202
89,160.236,0.03023,1,1,0.00045,0.000184055,0.000184055,0.000184055
90,161.939,0.17232,1,1,0.00032,0.000169908,0.000169908,0.000169908
91,164.124,0.0413,1,1,0.00038,0.000155761,0.000155761,0.000155761
92,165.87,0.02891,1,1,0.00074,0.000141614,0.000141614,0.000141614
93,167.564,0.0165,1,1,0.00096,0.000127467,0.000127467,0.000127467
94,169.257,0.02495,1,1,0.00046,0.00011332,0.00011332,0.00011332
95,170.939,0.01655,1,1,0.00037,9.91726e-05,9.91726e-05,9.91726e-05
96,174.783,0.03794,1,1,0.00374,8.50255e-05,8.50255e-05,8.50255e-05
97,176.469,0.01067,1,1,0.00253,7.08784e-05,7.08784e-05,7.08784e-05
98,178.147,0.01596,1,1,0.00078,5.67313e-05,5.67313e-05,5.67313e-05
99,179.83,0.02042,1,1,0.00066,4.25842e-05,4.25842e-05,4.25842e-05
100,181.498,0.04851,1,1,0.00071,2.84371e-05,2.84371e-05,2.84371e-05
